"","EDUC","CLASS","WRKSTAT","MARITAL","AGE","CHILDS","SEX","RELTRAD","ATTEND","RELPERSN","RELACTIV","SOCREL","SOCOMMUN","SOCFREND","SOCBAR","INTRNETUSE","INTPRFSSNL","UNPLUG","INTHOME","INTPUB","INTSKILL","INTSURF","INTLITERACY","INTAPPS","INTCOMM","INTSHARE","INTSEARCH","INTGAME","INTSTREAM","INTFNCL","INTMEET","INTLNLY","INTVIEWS","INTRUST","TRPPL","RACECEN1.mod"
"88",16,3,5,2,71,3,1,1,4,2,5,2,4,5,7,2,5,6,1,3,1,1,1,3,1,1,2,4,3,3,4,4,4,3,3,1
"89",14,2,2,5,19,0,1,7,0,4,1,4,7,2,3,2,2,6,1,2,1,2,2,2,2,3,1,3,1,2,4,3,3,0,1,1
"90",13,3,1,2,58,0,2,7,1,4,1,4,5,3,6,2,1,3,1,3,1,1,1,2,1,3,1,4,1,2,3,3,5,4,7,1
"91",12,2,1,2,58,3,2,4,1,2,2,5,5,6,6,2,1,6,2,2,2,2,1,2,1,3,3,3,2,2,5,4,6,2,1,1
"92",16,2,1,1,60,2,1,4,2,3,2,5,4,6,7,1,1,6,1,2,1,1,1,1,1,5,1,5,2,3,5,5,6,0,5,1
"93",15,2,2,1,55,2,2,6,2,1,3,5,7,5,7,3,1,3,2,4,2,2,1,3,2,4,2,3,3,2,4,4,6,0,0,1
"94",13,3,5,2,80,0,2,3,7,1,3,3,3,2,2,2,4,6,4,4,4,2,2,2,2,3,2,2,3,3,1,3,3,4,5,2
"95",16,2,2,5,35,0,1,3,0,4,1,2,3,2,5,1,3,3,1,3,1,1,1,1,2,2,2,5,1,3,4,4,6,6,7,2
"96",17,3,1,5,52,0,2,1,7,2,7,4,3,4,4,1,1,3,1,1,1,1,2,2,1,3,1,3,1,1,4,3,5,0,6,2
"97",14,3,5,3,78,0,1,7,0,4,1,4,3,5,6,4,5,5,1,4,3,2,2,4,3,4,1,5,1,2,4,4,6,6,6,2
"98",19,3,5,1,77,1,1,4,2,3,4,4,5,5,7,2,4,3,2,4,1,1,2,1,1,3,2,5,3,3,4,4,5,2,5,2
"99",13,2,1,1,39,2,2,4,0,2,1,2,7,4,5,1,1,2,1,5,1,1,1,1,1,3,1,5,1,1,3,5,6,0,2,2
"100",16,2,1,5,45,0,1,6,0,4,1,6,3,3,4,2,4,5,2,3,2,2,1,1,1,5,1,3,3,2,3,5,6,7,8,1
"101",20,2,2,3,54,0,2,7,0,4,1,5,4,4,6,2,4,6,2,2,2,2,1,2,3,4,2,5,1,1,3,3,3,0,5,1
"102",17,3,1,5,30,0,1,7,2,4,2,3,3,3,5,1,1,3,1,3,1,1,1,1,1,4,1,3,1,1,3,4,6,7,3,1
"103",16,3,1,1,37,2,2,5,1,3,2,3,6,6,6,1,1,5,1,3,1,1,1,1,1,4,1,3,2,1,1,1,4,6,4,1
"104",16,1,1,5,26,0,1,7,0,4,1,3,4,4,3,3,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2,3,4,6,5,1
"105",12,2,7,5,49,5,2,1,5,2,6,6,7,7,7,1,1,2,1,1,2,2,3,3,2,1,1,5,1,1,4,4,6,0,0,2
